smiles,cn
CCCC(C)(C)C,30
CCCC(C)CC,42
CCCC1CCCC1,37
CCCCC(C)(C)C,40
CCCCCC(C)(C)C,49
CCCCCCC(C)C,39
CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,70
COC1=CC=CC=C1,6
CC1=CC=C(C=C1)OC,7.4
COC1=CC=CC=C1O,19.3
CCCC1=CC=C(C=C1)OC,7.5
C1=CC=C(C=C1)CCO,8
CC1=CC(=C(C=C1)O)OC,19.8
CCCC1=CC=C(C=C1)O,8.6
CCC1=CC(=C(C=C1)O)OC,19.6
CCCC1=CC(=C(C=C1)O)OC,18
COC1=C(C(=CC=C1)OC)O,26
CC1=CC(=C(C(=C1)OC)O)OC,25
C1=COC(=C1)C=O,13.9
C1CC2=CC=CC=C2C1,8.6
C1CC2C3CCC(C3)C2C1,20.4
C1CCC(=O)C1,9
CC(=CCC=C(C)C=C)C,28
CC(=CCCC(=CCC=C(C)C=C)C)C,32
CC(=CCCC(=CCCC(=CCO)C)C)C,24
CC(=O)CCC(=O)OC,7.8
CC(=O)OC,19.5
CC1=C(C(=CC=C1)C)C,10.1
CC1=CCC2C(C1)C2(C)C,27
CC1=CCCC(=C)C2CC(C2CC1)(C)C,29
CC1CCCC(C1)C,30.5
CC1CCCCC1C,24
CCC1=CC(=CC(=C1)CC)CC,7.6
CCC1C2CC3CC(C2)CC1C3,42.7
CCCC(C)C=C(C)C,27
CCCC(CCC)O,21
CCCC12CC3CC(C1)CC(C3)C2,48.6
CCCCC12CC3CC(C1)CC(C3)C2,49.1
CCCCCC(=O)CCC,43
CCCCCC(=O)CCCCC,49
CCCCCC(=O)OCCCC,31
CCCCCC(C)O,25
CCCCCC(CCC)O,28
CCCCCCCC(=O)OCC,42.2
CCCCCCOC(=O)CCC,29
CCCCCCOC(=O)CCCCC,40
CCCCCOC(=O)C,23.6
CCOCC1=CC=CO1,18.4
CCOCC1CCCO1,78.9
CCCCOC(=O)C=CC(=O)OCCCC,23
